Part ID,Item Name,Report Time,Lot Mean,Vendor Site,Lot No,Inspector,Equipment
PART-A01,Thickness,2025/01/01 00:00,119.4733,VendorTW,L001,ENG2,EQP-01
PART-A01,Thickness,2025/01/01 06:00,120.7846,VendorTW,L002,ENG1,EQP-02
PART-A01,Thickness,2025/01/01 12:00,116.8481,VendorTW,L003,ENG1,EQP-04
PART-A01,Thickness,2025/01/01 18:00,122.0336,VendorTW,L004,ENG3,EQP-01
PART-A01,Thickness,2025/01/02 00:00,112.0708,VendorTW,L005,ENG3,EQP-04
PART-A01,Thickness,2025/01/02 06:00,121.8736,VendorTW,L006,ENG3,EQP-04
PART-A01,Thickness,2025/01/02 12:00,113.8436,VendorTW,L007,ENG3,EQP-02
PART-A01,Thickness,2025/01/02 18:00,120.9514,VendorTW,L008,ENG2,EQP-03
PART-A01,Thickness,2025/01/03 00:00,116.8694,VendorTW,L009,ENG2,EQP-01
PART-A01,Thickness,2025/01/03 06:00,118.4624,VendorTW,L010,ENG2,EQP-03
PART-A01,Thickness,2025/01/03 12:00,117.7163,VendorTW,L011,ENG1,EQP-01
PART-A01,Thickness,2025/01/03 18:00,118.2809,VendorTW,L012,ENG1,EQP-02
PART-A01,Thickness,2025/01/04 00:00,112.9461,VendorTW,L013,ENG3,EQP-04
PART-A01,Thickness,2025/01/04 06:00,115.8654,VendorTW,L014,ENG1,EQP-01
PART-A01,Thickness,2025/01/04 12:00,117.2533,VendorTW,L015,ENG3,EQP-01
PART-A01,Thickness,2025/01/04 18:00,118.611,VendorTW,L016,ENG2,EQP-03
PART-A01,Thickness,2025/01/05 00:00,120.1682,VendorTW,L017,ENG1,EQP-04
PART-A01,Thickness,2025/01/05 06:00,115.6629,VendorTW,L018,ENG2,EQP-01
PART-A01,Thickness,2025/01/05 12:00,115.7759,VendorTW,L019,ENG2,EQP-03
PART-A01,Thickness,2025/01/05 18:00,112.4515,VendorTW,L020,ENG1,EQP-04
PART-A01,Thickness,2025/01/06 00:00,115.1695,VendorTW,L021,ENG3,EQP-03
PART-A01,Thickness,2025/01/06 06:00,114.8716,VendorTW,L022,ENG2,EQP-04
PART-A01,Thickness,2025/01/06 12:00,120.7856,VendorTW,L023,ENG3,EQP-04
